what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393248769298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393248771153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393248791593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248798303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248806048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393248807373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393248808543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248811088
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1393248812408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248813821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248816616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393249053555
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393249090840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393249120705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393250276021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393250280811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251299757
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393251302262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251308107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251328437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251332847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251333122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251333657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251334247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251336647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251336737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251343782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251354542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251355087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251658999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393251662034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393255330002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393255333352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393255333392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393255335452
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1393255335572
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393255335672
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1393255336042
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1393255336042
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1393255336042
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1393255336042
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1393255336042
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1393255336042
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1393255336042
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1393255336042
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1393255336042
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1393255336052
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1393255336052
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1393255336052
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1393255336072
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1393255336077
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1393255336077
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1393255336102
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1393255336107
