what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393323595632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393323862382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324505401
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393324505411
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393324507436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324509206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324509681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324510336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324512576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324514661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324514816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324519931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324529335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324532050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393324549813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325480693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325480788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325481388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325483313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325493303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325502133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325504648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393325520191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330656932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330673272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330678272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330679742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330680417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330682527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330684567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330685367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330690262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330699232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330703377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330724107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330728130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330784303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330806028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330807963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330811593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330824848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330828293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330861228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330861818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330867063
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393330870533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393330880623
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393330886513
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393330886603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393330899308
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393330899308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330908926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330920352
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393330924432
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393330924517
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393330924822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330928617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393330931027
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1393330931602
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1393509282184
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1393509282184
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1393509282184
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1393509282184
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1393509282189
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1393509282189
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1393509282189
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1393509282189
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1393509282189
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1393509282189
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1393509282224
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1393509282244
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1393509282249
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1393509282249
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1393509282249
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1393509282249
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1393509282254
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1393509282254
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1393509282254
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1393509282259
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1393509282259
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1393509282259
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1393509282259
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1393509282274
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1393509282274
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1393509282274
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1393509282274
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1393509282274
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1393509282274
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1393509282299
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1393509282299
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1393509282299
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1393509282299
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1393509282304
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1393509282304
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1393509282304
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1393509282304
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1393509282304
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1393509282304
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1393509282304
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1393509282304
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1393509282304
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1393509282304
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1393509282304
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1393509282304
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1393509282304
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1393509282304
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1393509282304
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1393509282309
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1393509282309
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1393509282344
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1393509282344
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1393509282344
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1393509282344
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1393509282344
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1393509282344
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1393509282344
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1393509282344
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1393509282344
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1393509282344
