what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1393230837554
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1393230837554
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393230837554
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1393230837554
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393230837554
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1393230837559
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1393230837559
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1393230837559
os,sysinfo,,,"win32",1393230837559
arch,sysinfo,,,"x86",1393230837559
ws,sysinfo,,,"win32",1393230837559
locale,sysinfo,,,"it_IT",1393230837559
processors,sysinfo,,,"8",1393230837559
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393230837559
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1393230837559
java.specification.name,sysinfo,,,"Java Platform API Specification",1393230837559
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393230837559
java.specification.version,sysinfo,,,"1.6",1393230837559
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1393230837559
java.version,sysinfo,,,"1.6.0_23",1393230837559
java.vm.info,sysinfo,,,"mixed mode",1393230837559
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1393230837559
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393230837559
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393230837559
java.vm.specification.version,sysinfo,,,"1.0",1393230837559
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1393230837559
java.vm.version,sysinfo,,,"19.0-b09",1393230837559
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1393230837644
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1393230837659
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1393230838324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393230839824
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1393230840784
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1393230840909
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1393230840914
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1393230841234
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1393230841299
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1393230841354
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1393230841519
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1393230841869
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1393230853959
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1393230854009
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1393230854009
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1393230854009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393230854044
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nWARNING: No candidate drivers match suggested default 'maxII_interface' for module: 'maxII_interface'.\r\nSEVERE: [Error] altera_hal_linkerx_generator: Because the CPU reset and exception vector addresses are mapped to the same memory,the exception address must be at least 32 bytes larger than the reset address.\r\nSEVERE: [Error] altera_hal_linkerx_generator: Because the CPU reset and exception vector addresses are mapped to the same memory,the exception address must be at least 32 bytes larger than the reset address.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1393230856294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393230879829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393230882449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232356164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232362614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232363364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232370439
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nWARNING: No candidate drivers match suggested default 'maxII_interface' for module: 'maxII_interface'.\r\nSEVERE: [Error] altera_hal_linkerx_generator: Because the CPU reset and exception vector addresses are mapped to the same memory,the exception address must be at least 32 bytes larger than the reset address.\r\nSEVERE: [Error] altera_hal_linkerx_generator: Because the CPU reset and exception vector addresses are mapped to the same memory,the exception address must be at least 32 bytes larger than the reset address.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1393232371879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232386869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232389309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232628702
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1393232629807
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1393232629857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232634247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232643332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232647382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232650242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232652767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232656502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232660992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393232703147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393233632393
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393233644848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393233651368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234017676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234230499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234347493
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393234349668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234356443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234358733
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1393234364917
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1393234368707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234368937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234369062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234369087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234375502
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1393234375517
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393234378272
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1393234378667
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1393234378702
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x180000b0, /cygdrive/c/Users/musico/Documents/INFN/TOPEM/EndoProbe/AlteraDevelBoards/DK-DEV-A2GX125N_Eth/software/SimpleSocketServer/SimpleSocketServer.elf] return code: 4, 'other error'",1393234389356
error,log,,,"Downloading ELF Process failed",1393234389356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234389366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393234399002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234487563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234489568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234505219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234510249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234864156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234868781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234885856
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393234888496
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393234889506
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x180000b0, --reset-target, /cygdrive/c/Users/musico/Documents/INFN/TOPEM/EndoProbe/AlteraDevelBoards/DK-DEV-A2GX125N_Eth/software/SimpleSocketServer/SimpleSocketServer.elf] return code: 4, 'other error'",1393234898268
error,log,,,"Downloading ELF Process failed",1393234898268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234898278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234900733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234911848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234920948
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393234923533
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393234924578
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x180000b0, /cygdrive/c/Users/musico/Documents/INFN/TOPEM/EndoProbe/AlteraDevelBoards/DK-DEV-A2GX125N_Eth/software/SimpleSocketServer/SimpleSocketServer.elf] return code: 4, 'other error'",1393234933335
error,log,,,"Downloading ELF Process failed",1393234933335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234933345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234934620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234938890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234950985
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393234953740
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393234954840
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x180000b0, /cygdrive/c/Users/musico/Documents/INFN/TOPEM/EndoProbe/AlteraDevelBoards/DK-DEV-A2GX125N_Eth/software/SimpleSocketServer/SimpleSocketServer.elf] return code: 4, 'other error'",1393234963611
error,log,,,"Downloading ELF Process failed",1393234963611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234963621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234966311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393234966931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393236255111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393236258051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237207520
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393237209045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237214225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237217480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237223790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237224670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237230205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237233745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237237240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237278360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393237378850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393240152297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393240158392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393240160442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393240163677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393240713192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393240717227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393245917746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393245922286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393245926131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393245928651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246074944
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393246074969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246077874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246826646
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1393246826666
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393246831066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246835106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246837416
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1393246837881
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393246840596
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393246841631
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x180000b0, /cygdrive/c/Users/musico/Documents/INFN/TOPEM/EndoProbe/AlteraDevelBoards/DK-DEV-A2GX125N_Eth/software/SimpleSocketServer/SimpleSocketServer.elf] return code: 4, 'other error'",1393246850478
error,log,,,"Downloading ELF Process failed",1393246850478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246850488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246852503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393246853553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247021573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247025988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247388612
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393247390037
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1393247393187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247394587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247434617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247441808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247455908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247456438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247461988
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393247496988
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393247500618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247504463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247595903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247628398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247891269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247903829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247924354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393247930264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248030944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248035719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248113414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248121849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248123464
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1393248124059
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393248125984
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393248127304
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x180000b0, --id=0x0, --timestamp=1393247276, /cygdrive/c/Users/musico/Documents/INFN/TOPEM/EndoProbe/AlteraDevelBoards/DK-DEV-A2GX125N_Eth/software/HelloWorld/HelloWorld.elf] return code: 4, 'other error'",1393248131391
error,log,,,"Downloading ELF Process failed",1393248131391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248131421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248133946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248136181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248221045
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393248221060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248225500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248251400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248259595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248259635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248260200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248264090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248266525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248275715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248276245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248279295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248284855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248344555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248373650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248612023
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393248615148
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1393248615198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393248615328
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1393248615708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248623753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248632418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393248633783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248645403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248648703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393248649748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393248692613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393248693993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393248716913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393248718588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248760043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393248764848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393248765558
